01:30:01.545 - FFMPEG found
01:30:01.546 - Python 3.6+ found
01:30:01.589 - Numpy found
01:30:01.610 - OpenCV-Python found
01:30:01.622 - Pillow found
01:30:01.875 - SSIM found
01:30:01.878 - Processing frames from video /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/video/6.mp4 to /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6
01:30:01.878 - ['ffprobe', '/sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/video/6.mp4']
01:30:01.884 - Finding Video Viewport...
01:30:01.884 - Using frame 0
01:30:01.947 - STREAM b'IHDR' 16 13
01:30:01.947 - STREAM b'pHYs' 41 9
01:30:01.947 - STREAM b'IDAT' 62 4096
01:30:01.947 - /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/viewport.png is 1366x708
01:30:01.947 - Finding the viewport for /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/viewport.png
01:30:01.948 - STREAM b'IHDR' 16 13
01:30:01.948 - STREAM b'pHYs' 41 9
01:30:01.948 - STREAM b'IDAT' 62 4096
01:30:01.952 - Viewport left edge is 0
01:30:01.953 - Viewport right edge is 1363
01:30:01.953 - Viewport top edge is 88
01:30:01.953 - Viewport bottom edge is 704
01:30:01.963 - Extracting frames from /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/video/6.mp4 to /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6
01:30:01.965 - ffmpeg -v debug -i /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/video/6.mp4 -vsync 0 -vf crop=1363:616:0:88,scale=iw*min(400/iw\,400/ih):ih*min(400/iw\,400/ih),mpdecimate=0:64:640:0.001 /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/img-%d.png
01:30:02.130 - Renaming /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/img-1.png to /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/video-000000.png
01:30:02.130 - Renaming /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/img-2.png to /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/video-000900.png
01:30:02.130 - Renaming /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/img-3.png to /sitespeed.io/20251114_202831/pages/scixplorer_org/abs/2022ApJ...930L..12E/abstract/data/filmstrip/6/video-001800.png
