02:32:05.356 - FFMPEG found
02:32:05.356 - Python 3.6+ found
02:32:05.400 - Numpy found
02:32:05.421 - OpenCV-Python found
02:32:05.433 - Pillow found
02:32:05.729 - SSIM found
02:32:05.733 - Processing frames from video /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/video/1.mp4 to /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1
02:32:05.733 - ['ffprobe', '/sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/video/1.mp4']
02:32:05.740 - Finding Video Viewport...
02:32:05.740 - Using frame 0
02:32:05.806 - STREAM b'IHDR' 16 13
02:32:05.806 - STREAM b'pHYs' 41 9
02:32:05.806 - STREAM b'IDAT' 62 4096
02:32:05.806 - /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/viewport.png is 1366x708
02:32:05.806 - Finding the viewport for /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/viewport.png
02:32:05.806 - STREAM b'IHDR' 16 13
02:32:05.806 - STREAM b'pHYs' 41 9
02:32:05.807 - STREAM b'IDAT' 62 4096
02:32:05.811 - Viewport left edge is 0
02:32:05.811 - Viewport right edge is 1363
02:32:05.811 - Viewport top edge is 88
02:32:05.811 - Viewport bottom edge is 704
02:32:05.822 - Extracting frames from /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/video/1.mp4 to /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1
02:32:05.825 - ffmpeg -v debug -i /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/video/1.mp4 -vsync 0 -vf crop=1363:616:0:88,scale=iw*min(400/iw\,400/ih):ih*min(400/iw\,400/ih),mpdecimate=0:64:640:0.001 /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/img-%d.png
02:32:06.030 - Renaming /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/img-1.png to /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/video-000000.png
02:32:06.030 - Renaming /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/img-2.png to /sitespeed.io/20251114_212547/pages/scixplorer_org/search/query-81ef4d13/data/filmstrip/1/video-000900.png
